model,sample_index,image_name,target_mode,map_variant,map_rank_spearman,map_top_half_iou,gradcam_zero
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_signed,-0.035826247185468674,0.3802816867828369,True
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_signed,0.34578490257263184,0.21739129722118378,True
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_signed,0.28531745076179504,0.2810457646846771,True
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_abs,0.17259041965007782,0.3243243098258972,True
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_abs,0.21481405198574066,0.2810457646846771,True
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_abs,0.11191260069608688,0.35172414779663086,True
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_abs,0.1773589700460434,0.30666667222976685,True
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_abs,0.0665396973490715,0.3154362440109253,True
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_abs,-0.035826247185468674,0.3802816867828369,True
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_abs,0.34578490257263184,0.21739129722118378,True
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_abs,0.28531745076179504,0.2810457646846771,True
vit_base_patch16_224,8,ILSVRC2012_val_00000299.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,9,ILSVRC2012_val_00000410.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,10,ILSVRC2012_val_00000499.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,11,ILSVRC2012_val_00000526.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,12,ILSVRC2012_val_00000537.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,13,ILSVRC2012_val_00000548.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,14,ILSVRC2012_val_00000575.JPEG,predicted,patch_score,1.0,1.0,True
